document_id	queue_position	path	lane	firewalled	exists	bytes	lines	hash	mtime_key	filename_datestamp	step	step_series	body_date	order_key	order_evidence	signals	triage_score	theory_bearing	read_status	duplicate_group
Q00001	1	docs/knowledgeos/brainstorming/20260819-104748-ai-engineering-lifecycle-five-responsibilities-governance.md	(root)	False	True	12452	492	755308f1a993525cd6d48d55ad4da5aa	2026-08-19T10:47	2026-08-19T10:47:48				3|2026-08-19T10:47:48	3-filename-datestamp	typed_arrow|verdict	2	YES	NOT-READ	
Q00002	2	docs/knowledgeos/brainstorming/_misc/20260821-150830-diagram.png	_misc	False	True	52029	184	c11e8377b8b16d01829420d24ad99c24	2026-08-21T15:08	2026-08-21T15:08:30				3|2026-08-21T15:08:30	3-filename-datestamp	defn	1	LIKELY	NOT-READ	
Q00003	3	docs/knowledgeos/brainstorming/20260816-204714-track2-eks-semantic-discovery.md	(root)	False	True	9121	498	33e95c8410204fc4ac27b5be142e143b	2026-08-21T17:34	2026-08-16T20:47:14				3|2026-08-16T20:47:14	3-filename-datestamp		0	REVIEW	NOT-READ	
Q00004	4	docs/knowledgeos/brainstorming/20260817-145153-ai-engineering-platform-6-role-model.md	(root)	False	True	13902	940	07f4d157f051f834778972bd5dc12845	2026-08-21T17:34	2026-08-17T14:51:53				3|2026-08-17T14:51:53	3-filename-datestamp	typed_arrow	1	LIKELY	NOT-READ	
Q00005	5	docs/knowledgeos/brainstorming/20260818-213516-lcom4-multi-language-binding.md	(root)	False	True	13972	596	6fa66f975292086514530766c570a0a4	2026-08-21T17:34	2026-08-18T21:35:16				3|2026-08-18T21:35:16	3-filename-datestamp	typed_arrow	1	LIKELY	NOT-READ	
Q00006	6	docs/knowledgeos/brainstorming/20260819-092449-research-on-role-separation.md	(root)	False	True	55141	1611	48423c2ca3e3b7305a83804749f0b09b	2026-08-21T17:34	2026-08-19T09:24:49				3|2026-08-19T09:24:49	3-filename-datestamp	claimword	1	LIKELY	NOT-READ	
Q00007	7	docs/knowledgeos/brainstorming/20260819-104802-delegation-map-domain-owners.md	(root)	False	True	9192	50	e27bea1a5ae53ee8ad2d98a4f3e49102	2026-08-21T17:34	2026-08-19T10:48:02				3|2026-08-19T10:48:02	3-filename-datestamp	typed_arrow	1	LIKELY	NOT-READ	
Q00008	8	docs/knowledgeos/brainstorming/20260819-104804-voting-election-outcome-refinement.md	(root)	False	True	6904	154	b9fbe45baf1087ca1623d527c12c95a1	2026-08-21T17:34	2026-08-19T10:48:04				3|2026-08-19T10:48:04	3-filename-datestamp	math_display|claimword	2	YES	NOT-READ	
Q00009	9	docs/knowledgeos/brainstorming/20260819-104823-four-session-role-model-refinement.md	(root)	False	True	24775	818	bfaeaa0dd0c92037b90da11e1027fb40	2026-08-21T17:34	2026-08-19T10:48:23				3|2026-08-19T10:48:23	3-filename-datestamp	typed_arrow	1	LIKELY	NOT-READ	
Q00010	10	docs/knowledgeos/brainstorming/20260819-104830-election-only-mode-readiness.md	(root)	False	True	14754	569	470a5bc6832becb4fe37e2176b57af61	2026-08-21T17:34	2026-08-19T10:48:30				3|2026-08-19T10:48:30	3-filename-datestamp	typed_arrow|verdict	2	YES	NOT-READ	
