symbol	n_docs	birth_doc	birth_order_key	birth_step	birth_mtime	birth_lane	mtime_first_doc	mtime_first_mtime	order_disagrees	birth_path
K	643	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
Knowledge	613	Q00502	1|00007 	007	2026-08-27T14:27	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
Evidence	589	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
K_t	589	Q00501	1|00006 	006	2026-08-27T14:25	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142514_step-006-information-gain-and-value-of-evidence.md
C	548	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
P	542	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00096	2026-08-22T16:19	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
E	495	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
D	432	Q00495	1|00001 	001	2026-08-27T14:06	phase_measure_theory	Q00309	2026-08-25T22:09	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
t	432	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
KnowledgeOS	429	Q00575	1|00001 	001	2026-08-28T10:33	phase_measure_theory	Q00305	2026-08-25T21:48	YES	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
