seq	document_id	order_key	order_evidence	step	mtime	lane	bytes	n_math	n_introduced	introduced_top	path
1	Q00495	1|00001 	1-step	001	2026-08-27T14:06	phase_measure_theory	8974	54	63	e_i,e_j,Unknown,Dependent,Independent,Independence,B,D,e_1,e_2,Source,Confirmed,I,P	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140653_step-001-operational-independence.md
2	Q00575	1|00001 	1-step	001	2026-08-28T10:33	phase_measure_theory	14179	45	68	KnowledgeOS,DDD,YES,x,S,Software,Architecture,HIGH,PROMISING,SUBSTANTIALLY,COHERENT,STRONG,NOT,YET	docs/knowledgeos/brainstorming/phase_measure_theory/20260828-103343_step-001-40-review-where-we-are-now.md
3	Q00497	1|00002 	1-step	002	2026-08-27T14:09	phase_measure_theory	11004	71	48	Underlying,Root,Same,Hash,G_E,V,Semantic,Equivalence,ID,one,CommonSource,L,CommonCause,Observation	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-140919_step-002-what-does-it-mean-for-two-evidence-items-to-be-the-same.md
4	Q00498	1|00003 	1-step	003	2026-08-27T14:11	phase_measure_theory	13853	83	37	Agg,Conclusion,Aggregation,Relevance,Basis,Support,Q,X,Truth,R,Ctx,occur,after,Strength	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-141118_step-003-evidence-assessment-algebra.md
5	Q00499	1|00004 	1-step	004	2026-08-27T14:22	phase_measure_theory	14590	99	38	Contribution,E_P,e_3,Active,Stale,StrongEvidence,StrongSupport,Transform,Document,Summary,Report,Rel,NonRelevant,singleScore	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142250_step-004-the-evidence-aggregation-axioms.md
6	Q00500	1|00005 	1-step	005	2026-08-27T14:23	phase_measure_theory	14441	90	45	Pr,Accepted,object,Proposition,Bel,Universe,c,Pl,Acceptance,Polarity,R_E,Gain,P_1,P_2	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142333_step-005-what-is-the-mathematical-object-being-aggregated.md
7	Q00501	1|00006 	1-step	006	2026-08-27T14:25	phase_measure_theory	15220	102	46	K_t,I_t,EDR,e_t,Q_t,Discrepancy,Lord,ideal,Highest,S_t,S_t+1,O_e,VOE,DecisionImpact	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142514_step-006-information-gain-and-value-of-evidence.md
8	Q00502	1|00007 	1-step	007	2026-08-27T14:27	phase_measure_theory	19567	120	51	H_t,K_0,K,Resolve,Superseded,Retract,PolicyVersion,time,NexusVersion,C_t,Knowledge,Introduce,Corroborate,Contradict	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-142709_step-007-how-does-new-evidence-change-the-knowledge-state.md
9	Q00503	1|00008 	1-step	008	2026-08-27T15:19	phase_measure_theory	15690	98	36	Supported,Committed,Candidate,Commit,Commitment,SupportStatus,ContestStatus,NotAccepted,O,Accept,Engineer,N_independent,Age,T_max	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-151920_step-008-epistemic-acceptance-and-commitment.md
10	Q00504	1|00009 	1-step	009	2026-08-27T15:20	phase_measure_theory	17330	116	35	P_old,P_new,Version,v_1,v_2,Local,Four,valued,status,Revise,Gap,Defer,R_K,local	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-152002_step-009-contradiction-paraconsistency-and-belief-revision.md
11	Q00508	1|00010 	1-step	010	2026-08-27T15:37	phase_measure_theory	19844	149	38	Interpretation,Premises,Derived,Induction,Hypothesis,Known,Deduction,Abduction,Calculation,Derivation,RequiresBackup,f,e_LLM,BackupRequired	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-153750_step-010-inference-and-derivation.md
12	Q00505	1|00011 	1-step	011	2026-08-27T15:24	phase_measure_theory	19164	150	36	T,S_3,S_1,S_2,MissingPremise,Weak,U_inference,U_model,U_measurement,U_semantic,U_context,U_A,Deps,Deterministic	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-152413_step-011-uncertainty-propagation-and-derived-knowledge.md
13	Q00506	1|00012 	1-step	012	2026-08-27T15:34	phase_measure_theory	23738	165	34	Entity,Representation,x_1,x_2,de,x_deployment,Comparison,Normalize,Equivalent,Related,v,Compare,errors,Reality	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-153436_step-012-identity-entity-resolution-and-semantic-equivalence.md
14	Q00507	1|00013 	1-step	013	2026-08-27T15:37	phase_measure_theory	17076	129	46	P_r,Ready,Sufficiency,Readiness,Satisfies,Sufficient,Coverage,Criticality,q_i,Constraints,Authorized,Completeness,Satisfied,Unsatisfied	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-153702_step-013-sufficiency-completeness-and-readiness-for-purpose.md
15	Q00509	1|00013 	1-step	013	2026-08-27T15:42	phase_measure_theory	17076	129	0		docs/knowledgeos/brainstorming/phase_measure_theory/20260827-154223_step-013-sufficiency-completeness-and-readiness-for-purpose-duplicate.md
16	Q00510	1|00014 	1-step	014	2026-08-27T15:52	phase_measure_theory	20251	143	45	do,CausalModel,Causation,M_1,causal,Intervention,Y_X,Counterfactual,FirewallChange,Simulation,WetRoad,Correlation,Firewall,Cause	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-155259_step-014-causality-dependency-and-counterfactual-reasoning.md
17	Q00511	1|00015 	1-step	015	2026-08-27T15:56	phase_measure_theory	19296	129	42	Execution,EU,Recommendation,Preconditions,o_i,VOI,Execute,Utility,Intent,Reversibility,X_t+1,itself,value,Reject	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-155652_step-015-decision-theory-and-action-selection.md
18	Q00512	1|00016 	1-step	016	2026-08-27T16:00	phase_measure_theory	25177	200	36	T_v,T_k,H_K,T_o,T_e,H_X,Before,T_d,Upgrade,T_1,T_2,e_n,Volatility,OccurredAt	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-160001_step-016-temporal-knowledge-events-state-evolution-and-knowledge-versioning.md
19	Q00513	1|00016 	1-step	016	2026-08-27T16:02	phase_measure_theory	25177	200	0		docs/knowledgeos/brainstorming/phase_measure_theory/20260827-160217_step-016-temporal-knowledge-events-state-evolution-and-knowledge-versioning-duplicate.md
20	Q00514	1|00017 	1-step	017	2026-08-27T16:04	phase_measure_theory	25246	171	32	Application,Assertion,ConceptID,Term,Ontology,ContextID,Word,word,BC,Rules,BC_1,BC_2,Customer,BackupArtifact	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-160410_step-017-ontology-concepts-semantics-and-domain-models.md
21	Q00515	1|00018 	1-step	018	2026-08-27T16:06	phase_measure_theory	24227	176	23	Priority,Cl_R,K_i,RuleVersion,P_n,Kind,Heuristic,ConfigurationA,Eval,K_i+1,non,def,NewKnowledge,GovernedRule	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-160659_step-018-rules-inference-logic-constraints-and-the-reasoning-engine.md
22	Q00516	1|00019 	1-step	019	2026-08-27T16:09	phase_measure_theory	30048	197	19	Applicability,k,Beta,Specificity,Directness,Evidential,Applicable,count,W,Freshness,w_i,E_i,Disputed,trust	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-160922_step-019-authority-trust-evidence-weighting-source-reliability-and-knowledge-commitment.md
23	Q00517	1|00020 	1-step	020	2026-08-27T16:11	phase_measure_theory	26139	191	25	Ambiguous,Probabilistic,type,CPU,Imprecise,Scope,Indeterminate,Incomplete,Conflicting,HasOwner,Nexus_A,Nexus_B,Calibration,ModelUncertain	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-161157_step-020-uncertainty-probability-ambiguity-incompleteness-conflict-and-confidence.md
24	Q00518	1|00021 	1-step	021	2026-08-27T16:14	phase_measure_theory	26445	205	26	Goal,Authorization,G_1,G_2,UpgradeNexus,NoAction,Intention,Impact,Plan,GoalID,DesiredState,CurrentState,Pre,risk	docs/knowledgeos/brainstorming/phase_measure_theory/20260827-161423_step-021-goals-intentions-decisions-actions-utility-risk-constraints-and-outcomes.md
