record_id,corpus_index,representation_class,generator_shape,n,transformation,transformation_class,contract,contract_class,subset_size_m,n_subsets_at_m,zero_count_at_m,minimal_k,irreducible
case_0001,0,R4,alternating,3,T8_interacting,relational,P5_uncertainty,noncancelling,2,3,0,1,False
case_0002,2,R3,overlap,4,T3_normalize,elementwise,P4_provenance,noncancelling,2,6,0,1,False
case_0003,2,R3,overlap,4,T3_normalize,elementwise,P4_provenance,noncancelling,3,4,0,1,False
case_0004,3,R1,alternating,3,T8_interacting,relational,P6_scope,noncancelling,2,3,0,1,False
case_0005,4,R3,repeat,4,T4_context,relational,P8_composite,noncancelling,2,6,6,1,False
case_0006,4,R3,repeat,4,T4_context,relational,P8_composite,noncancelling,3,4,4,1,False
case_0007,6,R2,repeat,3,T2_dedup,relational,P4_provenance,noncancelling,2,3,3,1,False
case_0008,7,R2,overlap,4,T4_context,relational,P7_contradiction,noncancelling,2,6,4,irreducible,True
case_0009,7,R2,overlap,4,T4_context,relational,P7_contradiction,noncancelling,3,4,0,1,False
case_0010,9,R1,overlap,4,T1_stopword,elementwise,P5_uncertainty,noncancelling,2,6,1,1,False
case_0011,9,R1,overlap,4,T1_stopword,elementwise,P5_uncertainty,noncancelling,3,4,0,1,False
case_0012,10,R2,same_value_diff_source,3,T7_meta_destroying,elementwise,P5_uncertainty,noncancelling,2,3,0,1,False
case_0013,11,R3,nested,5,T2_dedup,relational,P2_len,noncancelling,2,10,6,irreducible,True
case_0014,11,R3,nested,5,T2_dedup,relational,P2_len,noncancelling,3,10,3,irreducible,True
case_0015,11,R3,nested,5,T2_dedup,relational,P2_len,noncancelling,4,5,0,1,False
case_0016,12,R4,repeat,3,T5_reference,elementwise,P3_required,noncancelling,2,3,0,1,False
case_0017,13,R4,nested,5,T4_context,relational,P6_scope,noncancelling,2,10,0,1,False
case_0018,13,R4,nested,5,T4_context,relational,P6_scope,noncancelling,3,10,0,1,False
case_0019,13,R4,nested,5,T4_context,relational,P6_scope,noncancelling,4,5,0,1,False
case_0020,16,R4,alternating,5,T1_stopword,elementwise,P6_scope,noncancelling,2,10,1,1,False
case_0021,16,R4,alternating,5,T1_stopword,elementwise,P6_scope,noncancelling,3,10,0,1,False
case_0022,16,R4,alternating,5,T1_stopword,elementwise,P6_scope,noncancelling,4,5,0,1,False
case_0023,18,R4,overlap,4,T3_normalize,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0024,18,R4,overlap,4,T3_normalize,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0025,19,R3,random,6,T4_context,relational,P6_scope,noncancelling,2,15,0,1,False
case_0026,19,R3,random,6,T4_context,relational,P6_scope,noncancelling,3,20,0,1,False
case_0027,19,R3,random,6,T4_context,relational,P6_scope,noncancelling,4,15,0,1,False
case_0028,19,R3,random,6,T4_context,relational,P6_scope,noncancelling,5,6,0,1,False
case_0029,21,R2,alternating,3,T4_context,relational,P9_balance,cancelling,2,3,3,1,False
case_0030,23,R3,nested,5,T1_stopword,elementwise,P4_provenance,noncancelling,2,10,0,1,False
case_0031,23,R3,nested,5,T1_stopword,elementwise,P4_provenance,noncancelling,3,10,0,1,False
case_0032,23,R3,nested,5,T1_stopword,elementwise,P4_provenance,noncancelling,4,5,0,1,False
case_0033,24,R4,overlap,4,T7_meta_destroying,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0034,24,R4,overlap,4,T7_meta_destroying,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0035,25,R1,same_value_diff_source,3,T4_context,relational,P7_contradiction,noncancelling,2,3,3,1,False
case_0036,26,R1,repeat,4,T8_interacting,relational,P8_composite,noncancelling,2,6,6,1,False
case_0037,26,R1,repeat,4,T8_interacting,relational,P8_composite,noncancelling,3,4,4,1,False
case_0038,28,R4,alternating,5,T6_meta_preserving,elementwise,P2_len,noncancelling,2,10,0,1,False
case_0039,28,R4,alternating,5,T6_meta_preserving,elementwise,P2_len,noncancelling,3,10,0,1,False
case_0040,28,R4,alternating,5,T6_meta_preserving,elementwise,P2_len,noncancelling,4,5,0,1,False
case_0041,31,R4,alternating,3,T3_normalize,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0042,33,R4,random,6,T6_meta_preserving,elementwise,P9_balance,cancelling,2,15,6,irreducible,True
case_0043,33,R4,random,6,T6_meta_preserving,elementwise,P9_balance,cancelling,3,20,6,2,False
case_0044,33,R4,random,6,T6_meta_preserving,elementwise,P9_balance,cancelling,4,15,3,2,False
case_0045,33,R4,random,6,T6_meta_preserving,elementwise,P9_balance,cancelling,5,6,3,2,False
case_0046,35,R3,overlap,4,T4_context,relational,P6_scope,noncancelling,2,6,4,irreducible,True
case_0047,35,R3,overlap,4,T4_context,relational,P6_scope,noncancelling,3,4,0,1,False
case_0048,36,R3,overlap,4,T4_context,relational,P8_composite,noncancelling,2,6,4,irreducible,True
case_0049,36,R3,overlap,4,T4_context,relational,P8_composite,noncancelling,3,4,0,1,False
case_0050,38,R2,random,5,T3_normalize,elementwise,P2_len,noncancelling,2,10,0,1,False
case_0051,38,R2,random,5,T3_normalize,elementwise,P2_len,noncancelling,3,10,0,1,False
case_0052,38,R2,random,5,T3_normalize,elementwise,P2_len,noncancelling,4,5,0,1,False
case_0053,45,R3,overlap,4,T6_meta_preserving,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0054,45,R3,overlap,4,T6_meta_preserving,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0055,46,R2,same_value_diff_source,3,T3_normalize,elementwise,P4_provenance,noncancelling,2,3,0,1,False
case_0056,51,R1,random,3,T4_context,relational,P1_result,noncancelling,2,3,0,1,False
case_0057,54,R4,same_value_diff_source,3,T2_dedup,relational,P9_balance,cancelling,2,3,3,1,False
case_0058,60,R3,overlap,4,T2_dedup,relational,P3_required,noncancelling,2,6,4,irreducible,True
case_0059,60,R3,overlap,4,T2_dedup,relational,P3_required,noncancelling,3,4,0,1,False
case_0060,64,R2,nested,5,T6_meta_preserving,elementwise,P9_balance,cancelling,2,10,10,1,False
case_0061,64,R2,nested,5,T6_meta_preserving,elementwise,P9_balance,cancelling,3,10,10,1,False
case_0062,64,R2,nested,5,T6_meta_preserving,elementwise,P9_balance,cancelling,4,5,5,1,False
case_0063,68,R1,nested,5,T6_meta_preserving,elementwise,P6_scope,noncancelling,2,10,0,1,False
case_0064,68,R1,nested,5,T6_meta_preserving,elementwise,P6_scope,noncancelling,3,10,0,1,False
case_0065,68,R1,nested,5,T6_meta_preserving,elementwise,P6_scope,noncancelling,4,5,0,1,False
case_0066,69,R2,nested,5,T7_meta_destroying,elementwise,P8_composite,noncancelling,2,10,0,1,False
case_0067,69,R2,nested,5,T7_meta_destroying,elementwise,P8_composite,noncancelling,3,10,0,1,False
case_0068,69,R2,nested,5,T7_meta_destroying,elementwise,P8_composite,noncancelling,4,5,0,1,False
case_0069,70,R3,random,5,T5_reference,elementwise,P7_contradiction,noncancelling,2,10,0,1,False
case_0070,70,R3,random,5,T5_reference,elementwise,P7_contradiction,noncancelling,3,10,0,1,False
case_0071,70,R3,random,5,T5_reference,elementwise,P7_contradiction,noncancelling,4,5,0,1,False
case_0072,73,R3,same_value_diff_source,3,T8_interacting,relational,P8_composite,noncancelling,2,3,1,1,False
case_0073,74,R2,same_value_diff_source,3,T6_meta_preserving,elementwise,P2_len,noncancelling,2,3,0,1,False
case_0074,78,R3,nested,5,T7_meta_destroying,elementwise,P6_scope,noncancelling,2,10,0,1,False
case_0075,78,R3,nested,5,T7_meta_destroying,elementwise,P6_scope,noncancelling,3,10,0,1,False
case_0076,78,R3,nested,5,T7_meta_destroying,elementwise,P6_scope,noncancelling,4,5,0,1,False
case_0077,81,R1,random,5,T3_normalize,elementwise,P8_composite,noncancelling,2,10,0,1,False
