seq	status	primary	maturity	importance	path	lineage
0001	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/2026-08-02-knowledgeos-architecture-baseline.md	c1
0002	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/KnowledgeOS_Architecture_Validation_Matrix.md	c1
0003	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/KnowledgeOS_Architecture_Synthesis_Matrix.md	c1
0004	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	medium	docs/knowledgeos/KnowledgeOS_Architecture_Health_Dashboard.md	c1
0005	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/KnowledgeOS_Architecture_Fitness_Assessment.md	c1
0006	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	medium	docs/knowledgeos/KnowledgeOS_ARB_Decision_Docket.md	c1
0007	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	hypothetical	low	docs/knowledgeos/AI_Workflow_Observation_Log.md	n/a
0008	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/2026-08-02-mvk-bootstrap-validation-report.md	c1
0009	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/2026-08-02-knowledgeos-strategic-domain-discovery.md	c1
0010	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/2026-08-02-knowledgeos-strategic-boundary-consolidation.md	c1
0011	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/2026-08-02-knowledgeos-product-boundary-discovery.md	c1
0012	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	medium	docs/knowledgeos/2026-08-02-knowledgeos-architecture-consolidation.md	c1
0013	DONE	OUT_OF_SCOPE_ROOT_COMPLETED_ADJACENT	developing	high	docs/knowledgeos/KnowledgeOS_Meta_Model.md	c1
