seq	bytes	mtime	ext	path	tier	canonical_source
M0001	21756	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-145900_model.md	PRIMARY	M0001
M0002	19231	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-150600_hpa-bayesian-epistemology-vol2-formal-derivations-for-knowledgeos.md	PRIMARY	M0002
M0003	9037	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-161624_next-prompt-repair-verify-freeze-checkpoint-0080-0094.md	PRIMARY	M0003
M0004	4383	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-163238_do-not-trigger-consolidation-proliferation-is-itself-a-finding.md	PRIMARY	M0004
M0005	120076	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-195000_what-is-a-knowledge-state-kt-smallest-unit-about-an-observation.md	PRIMARY	M0005
M0006	18066	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-195200_reconstruction-from-available-material.md	PRIMARY	M0006
M0007	11215	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-195500_distinguish-genuinely-missing-from-merely-not-yet-formalized.md	PRIMARY	M0007
M0008	18066	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-201200_whole-knowledge-theory-as-research-level-theory-duplicate.md	DUPLICATE	M0006
M0009	29315	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-201400_not-algebraic-geometry-or-topology-first-they-attack-the-wrong-problem.md	PRIMARY	M0009
M0010	15879	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-202000_dretske-knowledge-and-the-flow-of-information.md	PRIMARY	M0010
M0011	15879	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-203100_dretske-knowledge-and-the-flow-of-information-duplicate.md	DUPLICATE	M0010
M0012	22942	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-203200_dynamic-epistemic-logic-against-the-method-and-separation-rule.md	PRIMARY	M0012
M0013	10129	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-203600_not-the-same-but-large-important-overlap.md	PRIMARY	M0013
M0014	25010	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-205100_kallenberg-as-a-mathematical-foundation-source-compared-to-the-theory.md	PRIMARY	M0014
M0015	12091	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-205400_the-gap-is-much-smaller-but-not-filled-three-models-converge-but-not-completely.md	PRIMARY	M0015
M0016	20448	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-210200_kenneth-shum-measure-theoretic-probability-chapters-2-13.md	PRIMARY	M0016
M0017	16249	2026-09-01	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260901-210600_dretske-full-book-revision-knowledge-belief-coding-cognitive-structure.md	PRIMARY	M0017
